ID,Finding,Status,Resolution,Reference
TR-01,Final Decision generic updated_at can change source after qualitative edit,ACCEPTED_CHANGE,Implemented decision_updated_at/by; only 3 final fields move source,"06,08,13,40,48,database_schema.sql"
TR-02,Candidate schedule conflict missing,RESOLVED,Candidate overlap BLOCK; shared conflict engine + mandatory locks,"05,37,48,50"
TR-03,Derived views may bypass RLS,ACCEPTED_TECH,Move implementation views to private schema; security_invoker if exposed; explicit grants,"39,40,49,database_schema.sql"
TR-04,Application candidate_id can disagree with Submission candidate,ACCEPTED_TECH,Remove duplicate candidate_id from Application; derive via Submission,"08,40,database_schema.sql"
TR-05,Unit/Team/Position hierarchy can be inconsistent,ACCEPTED_TECH,DB trigger + command invariant; Position is hierarchy source at assignment time,"08,40,database_schema.sql"
TR-06,Report not constrained to Participant,ACCEPTED_TECH,Report FK to interview_participant_id,"08,40,database_schema.sql"
TR-07,Interviewer-wins could cause whole-row lost update,ACCEPTED_TECH,Field-aware patch/merge; same field Interviewer wins; stale HR reload,"37,48,logic_validation/36"
TR-08,Backend transaction/API/RPC contract missing,ACCEPTED_TECH,Added command contract document,37
TR-09,Idempotency strategy missing,ACCEPTED_TECH,Added idempotency table/contract for retriable mutations,"37,48,database_schema.sql"
TR-10,DB checks/version triggers incomplete,ACCEPTED_TECH,Added round/time/order/version/document metadata starter invariants,"40,database_schema.sql"
TR-11,Root Admin max-one does not guarantee non-zero,ACCEPTED_TECH,Bootstrap runbook + root protection trigger after bootstrap,"40,44,46,database_schema.sql"
TR-12,Auth methods not fully locked,RESOLVED,Internal Google OAuth; Candidate Email OTP,"46,50"
TR-13,Internal email change is identity workflow,ACCEPTED_TECH,Dedicated Change Internal User Identity command; not plain text edit,"37,46"
TR-14,Upload/file security incomplete,RESOLVED_POLICY,"PDF/Word/PPT/PNG/JPEG; max 5 files, 5MB/file; private two-phase upload","41,50"
TR-15,Service-role/secret hard rule missing,ACCEPTED_TECH,Server-only; never browser; privileged server still reauthorizes,"39,44"
TR-16,Privacy/compliance incomplete,CAPABILITY_SPECIFIED_GO_LIVE_LEGAL_REVIEW,Privacy capability + acknowledgement; legal wording remains go-live responsibility,"42,45,50"
TR-17,Data retention policy missing,RESOLVED_BUSINESS_POLICY,No automatic purge; capacity warning/export/archive/explicit purge,"42,50"
TR-18,Activity log should be mandatory,ACCEPTED_TECH,Sensitive event audit mandatory and append-only,"11,47,database_schema.sql"
TR-19,Email History hard delete conflicts with audit,BUSINESS_RULE_RETAINED,Keep user-facing History deletable; immutable audit separately records send/delete,"11,43,47"
TR-20,Email sending needs outbox/retry,ACCEPTED_TECH,Transactional outbox after commit with retry/idempotency/provider status,"11,43,database_schema.sql"
TR-21,Candidate NEW->READ on HR open locks edit,ALREADY_FROZEN,Retain owner-approved workflow; improve Candidate explanatory UX only,"03,04,07"
TR-22,Gender MALE/FEMALE hard coded,ALREADY_FROZEN,Retain Phase-1 Nam/Nữ owner decision,"03,database_schema.sql"
TR-23,Business/Design document status inconsistent,ACCEPTED_DOC_FIX,"Current status synchronized: BL frozen, DS current, technical not frozen","00,14,app_spec.yaml"
TR-24,Candidate mobile not production specified,ACCEPTED_UI_GATE,Candidate Login/Form/My Applications mobile required before go-live,"45,Design System v1.4 RESPONSIVE"
TR-25,Non-functional requirements missing,ACCEPTED_TECH,Added NFR document,38
TR-26,Rate limiting/abuse prevention missing,PARTIALLY_RESOLVED,Rate-limit strategy/defaults now specified in doc 68; implementation/load/security evidence remains go-live gate,"38,44,45,68"
TR-27,Search/pagination not locked,ACCEPTED_TECH_UI,"Server-side pagination/search, debounce/indexes, URL state guidance","38,Design System v1.4"
TR-28,Timezone unspecified,ACCEPTED_TECH,timestamptz; display Asia/Ho_Chi_Minh; date-only remains date,"38,app_spec.yaml"
TR-29,Some non-blockers are actually go-live blockers,ACCEPTED_CLASSIFICATION,Separated coding-foundation vs production-UAT/go-live gates,"14,45,50"
TR-30,PDF administrative elements assumed by reviewer,NOT_ADOPTED,Official EIU template required; do not invent Quốc hiệu/Tiêu ngữ/Hội đồng,"06,45,50"
TR-31,Vercel React/Next performance/accessibility best practices,ACCEPTED_TECH_UI,"Server-first, authorize actions, parallel independent reads, URL state, semantic/accessibility rules","49,Design System v1.4"
TR-32,Supabase preview branches can diverge in grants/auth triggers,RISK_GUARD,Run branch security smoke tests; persistent isolated staging for final UAT,"44,49"
RV2-01,submissions.view has write side-effect,RESOLVED,NEW→READ requires submissions.status; default HR full,"02,04,37"
RV2-02,Bound identity rebinding privilege takeover,RESOLVED,Directory only unbound email typo; bound identity Root-only,"02,37,46"
RV2-03,Interview note vs HR report note conflated,RESOLVED,Separate interview_note/hr_report_note + RLS,"08,39,database_schema.sql"
RV2-04,Schedule transaction race,RESOLVED_SPEC,Mandatory advisory resource locks + recheck,"37,48"
RV2-05,Conflict engine missing on participant/reactivate/status,RESOLVED,Shared engine all activation mutations,"37,48"
RV2-06,reactivate_interview missing,RESOLVED,Explicit command added,"37,55"
RV2-07,First login Candidate provisioning ambiguous,RESOLVED,Atomic provision/find/safe rebind,"37,46"
RV2-08,Application selector ambiguous across N submissions,RESOLVED,Selector resolves specific Submission; CLOSED business rule retained,"05,37"
